caption,path,dataset,target
fresh pizza on a wooden cutting board,cc/training/708216_2777212587,imagenet20,pizza
"the team consumed pounds of pizza , gallons of soda and more than a half ton of bananas .",cc/training/708216_2777212587,imagenet20,pizza
what is the difference between a pizza and an artist ? a pizza can feed a family of person,cc/training/708216_2777212587,imagenet20,pizza
friends eating pizza on the streets,cc/training/708216_2777212587,imagenet20,pizza
a pizza is prepared for a take out customer .,cc/training/708216_2777212587,imagenet20,pizza
close - up of a special knife cuts the hot pizza with black olives on a plate,cc/training/708216_2777212587,imagenet20,pizza
"these deep dish bites are so adorable , they 'll steal a pizza your heart .",cc/training/708216_2777212587,imagenet20,pizza
there are kinds of people : those who like pineapple on their pizza and the normal ones,cc/training/708216_2777212587,imagenet20,pizza
musical film : half a pizza and home made chips !,cc/training/708216_2777212587,imagenet20,pizza
fresh pizza on a wooden cutting board,cc/training/708216_2777212587,imagenet20,pizza
cutting slices of a pizza,cc/training/708216_2777212587,imagenet20,pizza
gluten free pizza now available .,cc/training/708216_2777212587,imagenet20,pizza
halloween food : pizza with ghosts and spiders close - up on the table .,cc/training/708216_2777212587,imagenet20,pizza
"the cook prepares pizza , a close - up of hands as the chef puts the ingredients on the pizza",cc/training/708216_2777212587,imagenet20,pizza
halloween food : pizza with ghosts and spiders close - up on the table .,cc/training/708216_2777212587,imagenet20,pizza
interest puts a raw pizza into the oven,cc/training/708216_2777212587,imagenet20,pizza
pizza with the cut off slice isolated on white,cc/training/708216_2777212587,imagenet20,pizza
quarter pizza quarters of a pizza,cc/training/708216_2777212587,imagenet20,pizza
29 - perfect little pizza that looks like person eating a slice .,cc/training/708216_2777212587,imagenet20,pizza
fresh pizza on a wooden cutting board,cc/training/708216_2777212587,imagenet20,pizza
person and girl kissing under an umbrella,cc/training/564261_2700370683,imagenet20,umbrella
girl in a yellow raincoat with an umbrella .,cc/training/564261_2700370683,imagenet20,umbrella
happy laughing baby girl playing under a colorful umbrella in a warm summer rain,cc/training/564261_2700370683,imagenet20,umbrella
a woman runs down the sidewalk covering herself with an umbrella as a storm rolls through,cc/training/564261_2700370683,imagenet20,umbrella
girl poses with an umbrella in front of a fountain .,cc/training/564261_2700370683,imagenet20,umbrella
"pop artist , judges for day of the auditions , umbrella",cc/training/564261_2700370683,imagenet20,umbrella
man holding umbrella and sitting on a bench,cc/training/564261_2700370683,imagenet20,umbrella
the girl under an umbrella catches rain drops .,cc/training/564261_2700370683,imagenet20,umbrella
beach chairs and a closed umbrella sit unused during a tropical storm,cc/training/564261_2700370683,imagenet20,umbrella
girl with an umbrella in heavy rain,cc/training/564261_2700370683,imagenet20,umbrella
young businessman using smart phone under umbrella on a rain,cc/training/564261_2700370683,imagenet20,umbrella
illustration of people standing under the umbrella installed on the street lamp,cc/training/564261_2700370683,imagenet20,umbrella
"cute little boy with closed umbrella , in a cloudy rainy day on blue background for monsoon season .",cc/training/564261_2700370683,imagenet20,umbrella
happy little girl with colorful umbrella sitting on the grass in the rain,cc/training/564261_2700370683,imagenet20,umbrella
view of an opened beach umbrella against a blue sky during a windy day .,cc/training/564261_2700370683,imagenet20,umbrella
chair and umbrella under coconut trees on a beautiful day,cc/training/564261_2700370683,imagenet20,umbrella
owl sitting on the branch with red umbrella,cc/training/564261_2700370683,imagenet20,umbrella
young woman carrying umbrella looking back with smile in the snow,cc/training/564261_2700370683,imagenet20,umbrella
visitors are seen huddling under an umbrella as they watch surfers catch waves .,cc/training/564261_2700370683,imagenet20,umbrella
colour photograph of a man floating whilst reading a book and holding an umbrella .,cc/training/564261_2700370683,imagenet20,umbrella
"animal , portrait of a bengal tiger .",cc/training/1432065_1967013544,imagenet20,tiger
a female standard royal bengal tiger .,cc/training/1432065_1967013544,imagenet20,tiger
video of little tiger cub playing on the floor,cc/training/1432065_1967013544,imagenet20,tiger
video of little tiger cub playing on the floor,cc/training/1432065_1967013544,imagenet20,tiger
a tiger prowling around the edge of a lake,cc/training/1432065_1967013544,imagenet20,tiger
side profile of a wild bengal tiger walking in national park,cc/training/1432065_1967013544,imagenet20,tiger
side profile of a wild bengal tiger walking in national park,cc/training/1432065_1967013544,imagenet20,tiger
a young bengal tiger lying on the stone and calm looking around .,cc/training/1432065_1967013544,imagenet20,tiger
glimpse a tiger sleeping in an enclosure,cc/training/1432065_1967013544,imagenet20,tiger
an ordinary house cat sees himself as a huge fierce tiger,cc/training/1432065_1967013544,imagenet20,tiger
portrait of a sleeping tiger with paws under the head,cc/training/1432065_1967013544,imagenet20,tiger
a young tiger walking on a big rock in national park,cc/training/1432065_1967013544,imagenet20,tiger
side profile of a wild bengal tiger walking in national park,cc/training/1432065_1967013544,imagenet20,tiger
a tiger cub gets a bath .,cc/training/1432065_1967013544,imagenet20,tiger
peach the wild tiger one of a kind hand embroidered wall art,cc/training/1432065_1967013544,imagenet20,tiger
i bet you can not find out the hidden tiger in this painting,cc/training/1432065_1967013544,imagenet20,tiger
i bet you can not find out the hidden tiger in this painting,cc/training/1432065_1967013544,imagenet20,tiger
a tiger makes facial expressions after making its kill,cc/training/1432065_1967013544,imagenet20,tiger
this tiger i belonging appears to have been immobilized by running over a mine .,cc/training/1432065_1967013544,imagenet20,tiger
a tiger in shallow water,cc/training/1432065_1967013544,imagenet20,tiger
a candle loses nothing by lighting another candle . tv producer,cc/training/290206_362339098,imagenet20,candle
two silver colored and red colored candle burning in the dark,cc/training/290206_362339098,imagenet20,candle
a candle that is changing colors .,cc/training/290206_362339098,imagenet20,candle
a candle loses nothing by lighting another candle . tv producer,cc/training/290206_362339098,imagenet20,candle
candle on the table at night,cc/training/290206_362339098,imagenet20,candle
a paschal candle from my spiritual community far away .,cc/training/290206_362339098,imagenet20,candle
people during a romantic candle light dinner,cc/training/290206_362339098,imagenet20,candle
burning candle in the dark .,cc/training/290206_362339098,imagenet20,candle
religious leader holding the candle during the procession of holiday,cc/training/290206_362339098,imagenet20,candle
