caption,path,dataset,target
i am the kinda girl who would love to just order pizza and watch movies for a date .,cc/validation/94_3272894817,imagenet100,pizza
whole pizza on a board with spatula,cc/validation/94_3272894817,imagenet100,pizza
back to the future - pizza,cc/validation/94_3272894817,imagenet100,pizza
mixing the wet and dry ingredients for homemade pizza dough,cc/validation/94_3272894817,imagenet100,pizza
young couple eating pizza late night in front of the refrigerator,cc/validation/94_3272894817,imagenet100,pizza
"pizza , smile , on a wooden table",cc/validation/94_3272894817,imagenet100,pizza
white pizza ... a must have while visiting pa ... i get a tray every time i go visit my mom !,cc/validation/94_3272894817,imagenet100,pizza
deep dish pizza close - up on the table .,cc/validation/94_3272894817,imagenet100,pizza
close up of basil adding to pizza as a final touch to the dish,cc/validation/94_3272894817,imagenet100,pizza
young boy eats pizza with potato chips on the beach,cc/validation/94_3272894817,imagenet100,pizza
i 'd make a pizza in that oven .,cc/validation/94_3272894817,imagenet100,pizza
"this recipe is very kid - friendly , and tastes just like biting into a pepperoni pizza .",cc/validation/94_3272894817,imagenet100,pizza
close up shot of a black baking sheet with dough and a person who is putting on different kinds of ingredients for pizza,cc/validation/94_3272894817,imagenet100,pizza
chefs rotate pizza dough in the air,cc/validation/94_3272894817,imagenet100,pizza
vector outline black and white illustration of chef holding a plate of pizza in his hand,cc/validation/94_3272894817,imagenet100,pizza
ingredients to prepare a home made pizza .,cc/validation/94_3272894817,imagenet100,pizza
it 's probably been said before ... the best pizza we had ever eaten ... at .,cc/validation/94_3272894817,imagenet100,pizza
hawaiian pizza on the wooden table,cc/validation/94_3272894817,imagenet100,pizza
maybe a fondant birthday cake that looks like a pizza from the top ? :),cc/validation/94_3272894817,imagenet100,pizza
"view from the oven of little girls opening the door and their father putting pizza inside for baking , they talking and embracing",cc/validation/94_3272894817,imagenet100,pizza
pizza in a cardboard box,cc/validation/94_3272894817,imagenet100,pizza
nothing beats a pizza made on the grill !,cc/validation/94_3272894817,imagenet100,pizza
twisting pizza on a wooden background,cc/validation/94_3272894817,imagenet100,pizza
pizza on a wooden background .,cc/validation/94_3272894817,imagenet100,pizza
"so i 'm ordering pizza , what do you want ? i 'll just eat the lunch i brought in with me .",cc/validation/94_3272894817,imagenet100,pizza
person : pizza at the bar,cc/validation/94_3272894817,imagenet100,pizza
pizza dough cinnamon bread - made with ready - made pizza dough you can buy from the store .,cc/validation/94_3272894817,imagenet100,pizza
"a pizza and chefs themed team , held yearly",cc/validation/94_3272894817,imagenet100,pizza
people eat pizza and drink beer while on a date in a quiet restaurant,cc/validation/94_3272894817,imagenet100,pizza
pizza in the opened cardboard box .,cc/validation/94_3272894817,imagenet100,pizza
