caption,path,dataset,target
a candle is held near the police cordon as forensic investigators continue to scour the area for evidence,cc/validation/15469_3871196302,imagenet30,candle
invention and candle in a store window,cc/validation/15469_3871196302,imagenet30,candle
child holding a cupcake with candle,cc/validation/15469_3871196302,imagenet30,candle
candle burning in the shrine,cc/validation/15469_3871196302,imagenet30,candle
silver candle with the twig of the spruce and bells,cc/validation/15469_3871196302,imagenet30,candle
person lights a candle in a candlestick,cc/validation/15469_3871196302,imagenet30,candle
person lighting the boys candles from the candle,cc/validation/15469_3871196302,imagenet30,candle
cup with coffee and a burning candle,cc/validation/15469_3871196302,imagenet30,candle
"ink drawing of a birthday , candle on top .",cc/validation/15469_3871196302,imagenet30,candle
pairs of hands hold a candle,cc/validation/15469_3871196302,imagenet30,candle
chocolate birthday cake surrounded by confetti with lit candle for a ninetieth birthday or anniversary celebration,cc/validation/15469_3871196302,imagenet30,candle
a priest lighting a candle on christmas eve inside church in the old city,cc/validation/15469_3871196302,imagenet30,candle
"close - up of blow out a candle against a wall background , shallow depth of field with focus on the wick and flame",cc/validation/15469_3871196302,imagenet30,candle
christmas decorations with candle and silver balls on the mirror,cc/validation/15469_3871196302,imagenet30,candle
slow motion close - up shot of burning candle and sparklers on the beach at sunset .,cc/validation/15469_3871196302,imagenet30,candle
white led candle drip in a set of three,cc/validation/15469_3871196302,imagenet30,candle
"orchids , towel and candle on a wooden background",cc/validation/15469_3871196302,imagenet30,candle
offerings like flowers and candle floating,cc/validation/15469_3871196302,imagenet30,candle
smoke rises after a candle is blown out,cc/validation/15469_3871196302,imagenet30,candle
wooden table for lunch with a hot candle and cutlery,cc/validation/15469_3871196302,imagenet30,candle
"a candle being blown out in a monastery 's cell , with a cross on the old wall",cc/validation/15469_3871196302,imagenet30,candle
this candle holder is a hand painted wine glass that will add to your decor .,cc/validation/15469_3871196302,imagenet30,candle
chocolate birthday cake surrounded by confetti with lit candle for a-fifth birthday or anniversary celebration,cc/validation/15469_3871196302,imagenet30,candle
turning off an isolated candle with fingers,cc/validation/15469_3871196302,imagenet30,candle
her father holds a candle during the ceremony .,cc/validation/15469_3871196302,imagenet30,candle
wallpaper with a candle titled 23rd birthday party,cc/validation/15469_3871196302,imagenet30,candle
crypt of a church with many pillars and candle,cc/validation/15469_3871196302,imagenet30,candle
placing a candle on a table and pouring wine,cc/validation/15469_3871196302,imagenet30,candle
light a candle and remember all of the beautiful animals who lost their lives today .,cc/validation/15469_3871196302,imagenet30,candle
how to make a candle out of butter,cc/validation/15469_3871196302,imagenet30,candle
i wish someone would look at me the way my dog looks at pizza .,cc/validation/2487_1853731264,imagenet30,pizza
kitchen : these guys know how to maker great wood - fired pizza .,cc/validation/2487_1853731264,imagenet30,pizza
this strawberry balsamic pizza was even better than i hoped !,cc/validation/2487_1853731264,imagenet30,pizza
a whole pepperoni pizza in a white to go box on a white background,cc/validation/2487_1853731264,imagenet30,pizza
man putting a pizza to the modern oven,cc/validation/2487_1853731264,imagenet30,pizza
what 's the average price of pizza in your city ?,cc/validation/2487_1853731264,imagenet30,pizza
give us a call to place an order the best pizza from your favorite local place .,cc/validation/2487_1853731264,imagenet30,pizza
how to make pizza on the grill !,cc/validation/2487_1853731264,imagenet30,pizza
this is the pizza prior to going in the oven .,cc/validation/2487_1853731264,imagenet30,pizza
put the olives on a pizza,cc/validation/2487_1853731264,imagenet30,pizza
"see , no one can resist pizza .",cc/validation/2487_1853731264,imagenet30,pizza
female hands with sliced pizza on the kitchen table,cc/validation/2487_1853731264,imagenet30,pizza
have a pizza my heart !,cc/validation/2487_1853731264,imagenet30,pizza
a young boy in a straw hat is shown eating a piece of pizza .,cc/validation/2487_1853731264,imagenet30,pizza
different types of food you can cook in a pizza oven,cc/validation/2487_1853731264,imagenet30,pizza
"while spinning pizza dough in the kitchen , the yellow beam keeps me from throwing the dough to high .",cc/validation/2487_1853731264,imagenet30,pizza
that moment where you catch yourself drooling over pizza <3,cc/validation/2487_1853731264,imagenet30,pizza
icon of the slice of pizza in a linear style illustration,cc/validation/2487_1853731264,imagenet30,pizza
pizza and wine bar : a glimpse of our bar,cc/validation/2487_1853731264,imagenet30,pizza
"think about it you me sweats pizza think about it , plan on sending this to my boyfriend via text , good date night , simple , cute",cc/validation/2487_1853731264,imagenet30,pizza
cooked pizza on the wooden board,cc/validation/2487_1853731264,imagenet30,pizza
it 's okay to eat a whole pizza by yourself .,cc/validation/2487_1853731264,imagenet30,pizza
illustration of a boy eating pizza on a white background vector,cc/validation/2487_1853731264,imagenet30,pizza
"young women sitting on a sofa , laughing , pizza and beer bottles on coffee table .",cc/validation/2487_1853731264,imagenet30,pizza
"low angle view video of rotating pizza with cheese , tomatoes and olives on the red tablecloth",cc/validation/2487_1853731264,imagenet30,pizza
she took the last slice of pizza so i took animal,cc/validation/2487_1853731264,imagenet30,pizza
person with a 10lb pizza,cc/validation/2487_1853731264,imagenet30,pizza
girls my age are getting married and pregnant and i 'm over here still afraid to order pizza over the phone .,cc/validation/2487_1853731264,imagenet30,pizza
it takes a special kind of person to make pizza even better than it already is,cc/validation/2487_1853731264,imagenet30,pizza
a picture of pizza we had .,cc/validation/2487_1853731264,imagenet30,pizza
autumn rainy day lovers walking under an umbrella,cc/validation/9845_3141089573,imagenet30,umbrella
a bride and groom stand under an umbrella as it pours with rain,cc/validation/9845_3141089573,imagenet30,umbrella
couple kissing behind a red umbrella in town,cc/validation/9845_3141089573,imagenet30,umbrella
couple holding umbrella at night with view .,cc/validation/9845_3141089573,imagenet30,umbrella
woman with a red umbrella,cc/validation/9845_3141089573,imagenet30,umbrella
the young man with an umbrella on a white background,cc/validation/9845_3141089573,imagenet30,umbrella
a man loses his umbrella in the wind,cc/validation/9845_3141089573,imagenet30,umbrella
woman holding an umbrella in a rice field,cc/validation/9845_3141089573,imagenet30,umbrella
little girl holding an umbrella in the rain,cc/validation/9845_3141089573,imagenet30,umbrella
illustration of an isolated forbidden signal with an umbrella,cc/validation/9845_3141089573,imagenet30,umbrella
"little girl under the transparent umbrella outside , rainy day",cc/validation/9845_3141089573,imagenet30,umbrella
pretty wedding guest chats to the groom under her umbrella before the wedding ceremony .,cc/validation/9845_3141089573,imagenet30,umbrella
side view of a woman walking with umbrella against clouds on windy day,cc/validation/9845_3141089573,imagenet30,umbrella
woman holding onto her umbrella which has blown inside out in a high wind,cc/validation/9845_3141089573,imagenet30,umbrella
woman with umbrella walking down the street,cc/validation/9845_3141089573,imagenet30,umbrella
rare & collectable tv character turn the umbrella and watch her go !,cc/validation/9845_3141089573,imagenet30,umbrella
happy girl holding transparent umbrella among the rain,cc/validation/9845_3141089573,imagenet30,umbrella
composite image of businessman holding an umbrella with hand out,cc/validation/9845_3141089573,imagenet30,umbrella
the view of umbrella with boy,cc/validation/9845_3141089573,imagenet30,umbrella
woman under an umbrella in the autumn royalty free stock illustrations,cc/validation/9845_3141089573,imagenet30,umbrella
girl with umbrella playing with the fall leaves and rain .,cc/validation/9845_3141089573,imagenet30,umbrella
umbrella with polka dots on a city street .,cc/validation/9845_3141089573,imagenet30,umbrella
loving couple on a date under umbrella,cc/validation/9845_3141089573,imagenet30,umbrella
lounge chairs and umbrella on the beach,cc/validation/9845_3141089573,imagenet30,umbrella
couple stands under the colored umbrella on a wet street,cc/validation/9845_3141089573,imagenet30,umbrella
made in the shade : person carried an umbrella to protect her pale skin against the fiercely hot sun as she and person walked around the pitch,cc/validation/9845_3141089573,imagenet30,umbrella
riding a bicycle with an umbrella through a city,cc/validation/9845_3141089573,imagenet30,umbrella
a man jumping and dancing with an umbrella outside,cc/validation/9845_3141089573,imagenet30,umbrella
colorful umbrella isolated on a white background,cc/validation/9845_3141089573,imagenet30,umbrella
male hand holding an umbrella .,cc/validation/9845_3141089573,imagenet30,umbrella
television show host arrives at the premiere held,cc/validation/2323_2784665303,imagenet30,television
actor poses as television broadcasting business celebrates the 100th episode .,cc/validation/2323_2784665303,imagenet30,television
actors attend television broadcasting business after party .,cc/validation/2323_2784665303,imagenet30,television
businessperson and television show host .,cc/validation/2323_2784665303,imagenet30,television
a vector illustration of soccer fans watching the game on the television,cc/validation/2323_2784665303,imagenet30,television
journalist and television show host attend the premiere .,cc/validation/2323_2784665303,imagenet30,television
television show host in denim,cc/validation/2323_2784665303,imagenet30,television
television show host attends the premiere at festival,cc/validation/2323_2784665303,imagenet30,television
a minimalistic black and white gallery wall behind the television spruces up that once - empty white space .,cc/validation/2323_2784665303,imagenet30,television
pop artist performs on a television show,cc/validation/2323_2784665303,imagenet30,television
video of a couple having an argument while watching television on the living room,cc/validation/2323_2784665303,imagenet30,television
a blue creature in a scene from the television series,cc/validation/2323_2784665303,imagenet30,television
television show host and person pose alongside a representative holding a certificate .,cc/validation/2323_2784665303,imagenet30,television
