caption,path,dataset,target
man on bicycle with umbrella at the main crossing in the district,cc/training/1702997_1872179640,imagenet100,umbrella
beautiful girl with an umbrella isolated on white,cc/training/1702997_1872179640,imagenet100,umbrella
monarch sits under an umbrella in heavy rain at the unveiling of the memorial statue to her father,cc/training/1702997_1872179640,imagenet100,umbrella
another outdoor area is shaded by a clever collapsible umbrella .,cc/training/1702997_1872179640,imagenet100,umbrella
beautiful blonde woman holding umbrella out in the rain,cc/training/1702997_1872179640,imagenet100,umbrella
persons under a big colourful umbrella,cc/training/1702997_1872179640,imagenet100,umbrella
smiling young woman flirty girl with blue umbrella improving hair and winking blinking on a rainy day .,cc/training/1702997_1872179640,imagenet100,umbrella
viewing the buildings with an umbrella in the foreground,cc/training/1702997_1872179640,imagenet100,umbrella
hearts with wings under an umbrella in the rain .,cc/training/1702997_1872179640,imagenet100,umbrella
image of young businesswoman using an umbrella while answering a yes option to a question of claim insured,cc/training/1702997_1872179640,imagenet100,umbrella
back view of an unrecognizable woman walking with colorful umbrella in a rainy day in the city park,cc/training/1702997_1872179640,imagenet100,umbrella
hand of man holding an umbrella under rain .,cc/training/1702997_1872179640,imagenet100,umbrella
industry with an umbrella covering on top of it .,cc/training/1702997_1872179640,imagenet100,umbrella
red umbrella isolated over a black background,cc/training/1702997_1872179640,imagenet100,umbrella
young couple under an umbrella hiding from the wet snow,cc/training/1702997_1872179640,imagenet100,umbrella
"little girl under the transparent umbrella outside , rainy day",cc/training/1702997_1872179640,imagenet100,umbrella
office worker hiding under an umbrella and waiting for the rain,cc/training/1702997_1872179640,imagenet100,umbrella
woman with red umbrella walking on the street on a rainy autumn day,cc/training/1702997_1872179640,imagenet100,umbrella
hand of man holding an umbrella,cc/training/1702997_1872179640,imagenet100,umbrella
a man viewing the buildings and holding an umbrella,cc/training/1702997_1872179640,imagenet100,umbrella
4k cheerful young couple with red umbrella walking on the beach on a gloomy day,cc/training/1702997_1872179640,imagenet100,umbrella
girls share an umbrella as they make their way home from school in the rain,cc/training/1702997_1872179640,imagenet100,umbrella
snowman under umbrella on the beach - make impossible concept,cc/training/1702997_1872179640,imagenet100,umbrella
single girl with umbrella sitting at the bench at night .,cc/training/1702997_1872179640,imagenet100,umbrella
cute cartoon bear with umbrella under the rain,cc/training/1702997_1872179640,imagenet100,umbrella
take a romantic walk through the plantation under a cozy umbrella,cc/training/1702997_1872179640,imagenet100,umbrella
happy family sitting in garden under a red umbrella,cc/training/1702997_1872179640,imagenet100,umbrella
a happy young couple shelter form the rain under a large umbrella,cc/training/1702997_1872179640,imagenet100,umbrella
bags of money and golden coins under an umbrella .,cc/training/1702997_1872179640,imagenet100,umbrella
"different , unique and standing out of the crowd blue umbrella .",cc/training/1702997_1872179640,imagenet100,umbrella
hearts with wings under an umbrella in the rain .,cc/training/1702997_1872179640,imagenet100,umbrella
the 3d white small person with an umbrella in the rain with a portfolio,cc/training/1702997_1872179640,imagenet100,umbrella
couple sheltering from rain beneath umbrella with crowds rushing past near the views,cc/training/1702997_1872179640,imagenet100,umbrella
person opens the umbrella and talks to the girl .,cc/training/1702997_1872179640,imagenet100,umbrella
