caption,path,dataset,target
approaching tiger on a forest path,cc/validation/8051_4217151542,imagenet40,tiger
the bengal tiger lying on the wooden bridge,cc/validation/8051_4217151542,imagenet40,tiger
year of rescue of a tiger,cc/validation/8051_4217151542,imagenet40,tiger
video of tired little tiger cub lying on the floor,cc/validation/8051_4217151542,imagenet40,tiger
portrait of the tiger in zoo,cc/validation/8051_4217151542,imagenet40,tiger
"person and tiger , temple in province .",cc/validation/8051_4217151542,imagenet40,tiger
a tiger eating its dinner .,cc/validation/8051_4217151542,imagenet40,tiger
illustration of the little tiger on a white background,cc/validation/8051_4217151542,imagenet40,tiger
male tiger on the lookout,cc/validation/8051_4217151542,imagenet40,tiger
a young bengal tiger lying on the stone and calm looking around .,cc/validation/8051_4217151542,imagenet40,tiger
that 's a tiger with down syndrome .,cc/validation/8051_4217151542,imagenet40,tiger
tiger cub playing with mum 's tail in the water,cc/validation/8051_4217151542,imagenet40,tiger
walking lonely tiger in the zoo,cc/validation/8051_4217151542,imagenet40,tiger
it 's looking like romance is in the air for this male lion and a female tiger .,cc/validation/8051_4217151542,imagenet40,tiger
is this woman completely mad to keep biological subspecies as pets ? judge for yourself ... # tiger # bengal # pets,cc/validation/8051_4217151542,imagenet40,tiger
the tiger in the jungle,cc/validation/8051_4217151542,imagenet40,tiger
portrait of a beautiful tiger with flames over black background,cc/validation/8051_4217151542,imagenet40,tiger
a tiger cub sitting by a water hole,cc/validation/8051_4217151542,imagenet40,tiger
pretty girl with face painting of a tiger,cc/validation/8051_4217151542,imagenet40,tiger
portrait of tiger drawn by hand in pencil .,cc/validation/8051_4217151542,imagenet40,tiger
a white tiger basking in the hot afternoon sun,cc/validation/8051_4217151542,imagenet40,tiger
the tiger is coming along lattice,cc/validation/8051_4217151542,imagenet40,tiger
tiger cub behind the tree,cc/validation/8051_4217151542,imagenet40,tiger
a tiger cub drinking from a water hole,cc/validation/8051_4217151542,imagenet40,tiger
tiger cub having a drink at a water hole,cc/validation/8051_4217151542,imagenet40,tiger
a tiger i did for my art class !,cc/validation/8051_4217151542,imagenet40,tiger
"speaking about his picture of a tiger , which took to finish , person said : this one is wild , that 's why i love it .",cc/validation/8051_4217151542,imagenet40,tiger
white tiger lying in the snow -- stock photo #,cc/validation/8051_4217151542,imagenet40,tiger
the eye of the tiger,cc/validation/8051_4217151542,imagenet40,tiger
this a beautiful picture of a white tiger,cc/validation/8051_4217151542,imagenet40,tiger
a tiger jumps through hoops during a performance,cc/validation/8051_4217151542,imagenet40,tiger
"animal , portrait of a bengal tiger .",cc/validation/8051_4217151542,imagenet40,tiger
i 've got the eye of the tiger,cc/validation/8051_4217151542,imagenet40,tiger
"set of portraits of wild animals a giraffe , white tiger , red fox realistic in polygonal , low poly origami style",cc/validation/8051_4217151542,imagenet40,tiger
a crouching tiger near water,cc/validation/8051_4217151542,imagenet40,tiger
the tiger & the lion maybe more powerful ... but the wolf does not perform in the circus .,cc/validation/8051_4217151542,imagenet40,tiger
a little girl making friends with a tiger .,cc/validation/8051_4217151542,imagenet40,tiger
gallery - wrapped canvas is a high - quality canvas print capturing the regal power and beauty of a bengal tiger .,cc/validation/8051_4217151542,imagenet40,tiger
portrait of a large tiger eating raw meat for dinner,cc/validation/8051_4217151542,imagenet40,tiger
different moods of a young tiger,cc/validation/8051_4217151542,imagenet40,tiger
candle on the window sill with flowers,cc/validation/6292_1964091561,imagenet40,candle
"a carved wooden head of author , by candle light",cc/validation/6292_1964091561,imagenet40,candle
burning candle on the background of christmas light flashing colored lights,cc/validation/6292_1964091561,imagenet40,candle
this is a shot of a group of carved pumpkins with candle lit placed in a row and decorated by tree branches on blue background and black cat in white cloth wandering around,cc/validation/6292_1964091561,imagenet40,candle
girl holding a burning candle in her hand,cc/validation/6292_1964091561,imagenet40,candle
"candle in the night , close up",cc/validation/6292_1964091561,imagenet40,candle
cross on the background of a burning candle in the church,cc/validation/6292_1964091561,imagenet40,candle
